ID_sp,Group,order,family,genus,binomial,Registers,locals,studies,N_body_mass,Body_mass_mean,Body_mass_sd,Body_mass_cv,N_body_length,Body_length_mean,Body_length_sd,Body_length_cv,N_tail_length,tail_length_mean,tail_length_sd,tail_length_cv,N_forearm,forearm_mean,forearm_sd,forearm_cv
1,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx kappleri,3,2,2,3,5.333333333,2.081665999,0.390312375,0,NA,NA,NA,0,NA,NA,NA,3,43.83333333,0.845714688,0.019293871
2,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx leucoptera,1,1,1,1,7,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,42.65,NA,NA
3,Bats,Chiroptera,Emballonuridae,Peropteryx,Peropteryx macrotis,11,5,4,9,5.755555556,0.487624628,0.084722426,0,NA,NA,NA,0,NA,NA,NA,11,44,2.670580461,0.06069501
4,Bats,Chiroptera,Emballonuridae,Rhynchonycteris,Rhynchonycteris naso,12,6,3,6,4.533333333,0.816496581,0.18010954,0,NA,NA,NA,0,NA,NA,NA,7,38.33714286,1.332988051,0.034770146
5,Bats,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx bilineata,5,2,2,5,6.9,2.987473849,0.432967225,0,NA,NA,NA,0,NA,NA,NA,3,39.7,1.352774926,0.034074935
6,Bats,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx leptura,7,7,6,4,4.675,1.497497913,0.320320409,0,NA,NA,NA,0,NA,NA,NA,7,40.99285714,2.70679832,0.066030975
7,Bats,Chiroptera,Furipteridae,Furipterus,Furipterus horrens,7,1,1,7,4,0.577350269,0.144337567,0,NA,NA,NA,0,NA,NA,NA,7,36.47285714,0.996739924,0.027328266
8,Bats,Chiroptera,Molossidae,Cynomops,Cynomops planirostris,4,3,2,4,9.75,1.5,0.153846154,0,NA,NA,NA,0,NA,NA,NA,4,32.85,1.034408043,0.031488829
9,Bats,Chiroptera,Molossidae,Eumops ,Eumops patagonicus,2,1,1,2,16,1.414213562,0.088388348,0,NA,NA,NA,0,NA,NA,NA,2,45,0.707106781,0.015713484
10,Bats,Chiroptera,Molossidae,Molossops,Molossops temminckii,6,2,2,6,6.25,0.987420883,0.157987341,0,NA,NA,NA,0,NA,NA,NA,6,30.86666667,1.087504789,0.035232337
11,Bats,Chiroptera,Molossidae,Molossus,Molossus molossus,216,16,10,216,15.27222222,2.446671525,0.160204029,0,NA,NA,NA,0,NA,NA,NA,173,39.26184971,2.332673643,0.059413239
12,Bats,Chiroptera,Molossidae,Molossus,Molossus rufus,62,9,7,60,34.95833333,5.119166102,0.146436217,0,NA,NA,NA,0,NA,NA,NA,41,50.73439024,1.62550615,0.032039533
13,Bats,Chiroptera,Molossidae,Promops,Promops nasutus,1,1,1,1,19,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,50.74,NA,NA
14,Bats,Chiroptera,Noctilionidae,Noctilio,Noctilio albiventris,4,3,3,4,27.125,6.932712312,0.255583864,0,NA,NA,NA,0,NA,NA,NA,4,60.7,3.37934905,0.055672966
15,Bats,Chiroptera,Noctilionidae,Noctilio,Noctilio leporinus,44,10,5,44,58.93636364,8.712009645,0.147820617,0,NA,NA,NA,0,NA,NA,NA,44,84.66045455,2.848743464,0.033649045
16,Bats,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,267,43,18,264,11.67897727,2.044868216,0.175089665,0,NA,NA,NA,0,NA,NA,NA,267,36.59779026,1.556939349,0.042541895
17,Bats,Chiroptera,Phyllostomidae,Anoura,Anoura geoffroyi,116,29,14,114,15.69473684,4.529370077,0.288591655,0,NA,NA,NA,0,NA,NA,NA,115,41.66017391,4.130207714,0.099140434
18,Bats,Chiroptera,Phyllostomidae,Artibeus,Artibeus cinereus,487,32,17,468,13.81730769,3.334560383,0.241332136,0,NA,NA,NA,0,NA,NA,NA,465,40.49303226,1.643389989,0.040584513
19,Bats,Chiroptera,Phyllostomidae,Artibeus,Artibeus fimbriatus,787,48,24,754,58.91279841,7.226953478,0.122672045,0,NA,NA,NA,0,NA,NA,NA,772,66.52195596,1.958529037,0.029441844
20,Bats,Chiroptera,Phyllostomidae,Artibeus,Artibeus gnomus,7,1,1,7,13.71428571,1.286375491,0.093798213,0,NA,NA,NA,0,NA,NA,NA,7,39.91428571,0.86492499,0.02166956
21,Bats,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,2576,110,36,2444,73.46874386,10.40501491,0.141625055,0,NA,NA,NA,0,NA,NA,NA,2514,71.13157518,4.274887139,0.060098306
22,Bats,Chiroptera,Phyllostomidae,Artibeus,Artibeus obscurus,733,42,19,720,39.13368056,6.150783926,0.157173663,0,NA,NA,NA,0,NA,NA,NA,703,58.74698435,2.480620559,0.042225496
23,Bats,Chiroptera,Phyllostomidae,Artibeus,Artibeus planirostris,2647,49,17,2337,45.17841249,6.702074389,0.148346832,0,NA,NA,NA,0,NA,NA,NA,2629,61.14257512,3.004338876,0.04913661
24,Bats,Chiroptera,Phyllostomidae,Artibeus,Artibeus sp.,8,5,2,8,61.25,13.14479799,0.214608947,0,NA,NA,NA,0,NA,NA,NA,8,66.24375,4.468959411,0.067462355
25,Bats,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,46,5,4,46,14.88043478,3.086142473,0.207395988,0,NA,NA,NA,0,NA,NA,NA,38,37.81973684,1.413522506,0.03737526
26,Bats,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,6374,96,47,6183,16.31658903,2.82418585,0.17308678,0,NA,NA,NA,0,NA,NA,NA,5914,40.52862558,2.335865754,0.057634961
27,Bats,Chiroptera,Phyllostomidae,Centronycteris,Centronycteris maximiliani,1,1,1,1,5.5,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,42,NA,NA
28,Bats,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma doriae,87,39,36,78,32.90974359,5.282673953,0.160520058,0,NA,NA,NA,0,NA,NA,NA,81,52.04753086,1.601783795,0.030775404
29,Bats,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma villosum,68,30,28,50,25.879,5.047961904,0.195060161,0,NA,NA,NA,0,NA,NA,NA,65,48.08676923,1.708031678,0.035519784
30,Bats,Chiroptera,Phyllostomidae,Chrotopterus,Chrotopterus auritus,50,16,15,49,91.04571429,11.63923251,0.127839433,0,NA,NA,NA,0,NA,NA,NA,50,85.038,6.479865204,0.076199643
31,Bats,Chiroptera,Phyllostomidae,Desmodus,Desmodus rotundus,391,49,24,372,38.72741935,6.865288352,0.177272033,0,NA,NA,NA,0,NA,NA,NA,366,61.80896175,3.430521828,0.055502013
32,Bats,Chiroptera,Phyllostomidae,Diaemus,Diaemus youngii,1,1,1,1,36,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,51,NA,NA
33,Bats,Chiroptera,Phyllostomidae,Diphylla,Diphylla ecaudata,10,7,5,10,30.5,6.041522987,0.198082721,0,NA,NA,NA,0,NA,NA,NA,10,52.1,2.07578633,0.039842348
34,Bats,Chiroptera,Phyllostomidae,Dryadonycteris,Dryadonycteris capixaba,1,1,1,1,7,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,34,NA,NA
35,Bats,Chiroptera,Phyllostomidae,Gardnerycteris,Gardnerycteris crenulatum,19,5,3,19,17.07894737,2.479152845,0.14515841,0,NA,NA,NA,0,NA,NA,NA,17,51.41176471,1.363122497,0.026513824
36,Bats,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,759,71,25,717,10.25564854,2.597315337,0.253257054,0,NA,NA,NA,0,NA,NA,NA,739,35.82274696,2.182240378,0.060917729
37,Bats,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga sp.,4,2,2,4,10.5,1.290994449,0.122951852,0,NA,NA,NA,0,NA,NA,NA,1,36.49,NA,NA
38,Bats,Chiroptera,Phyllostomidae,Glyphonycteris ,Glyphonycteris sylvestris,2,1,1,2,12.5,0.707106781,0.056568542,0,NA,NA,NA,0,NA,NA,NA,2,42,1.272792206,0.030304576
39,Bats,Chiroptera,Phyllostomidae,Lampronycteris,Lampronycteris brachyotis,6,3,3,6,11.33333333,4.03319559,0.355870199,0,NA,NA,NA,0,NA,NA,NA,6,40.36666667,2.377954303,0.05890886
40,Bats,Chiroptera,Phyllostomidae,Lichonycteris,Lichonycteris obscura,1,1,1,1,7,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,32.6,NA,NA
41,Bats,Chiroptera,Phyllostomidae,Lonchophylla,Lonchophylla bokermanni,1,1,1,1,5,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,37.5,NA,NA
42,Bats,Chiroptera,Phyllostomidae,Lonchophylla,Lonchophylla mordax,12,3,2,12,8.125,0.829156198,0.102049994,0,NA,NA,NA,0,NA,NA,NA,12,34.15833333,0.756136512,0.022136224
43,Bats,Chiroptera,Phyllostomidae,Lonchophylla,Lonchophylla peracchi,4,1,1,4,8.375,0.25,0.029850746,0,NA,NA,NA,0,NA,NA,NA,4,35.25,1.5,0.042553191
44,Bats,Chiroptera,Phyllostomidae,Lonchophylla,Lonchophylla sp.,5,4,1,5,10.4,2.880972058,0.277016544,0,NA,NA,NA,0,NA,NA,NA,5,36.516,1.634634516,0.044764884
45,Bats,Chiroptera,Phyllostomidae,Lonchorhina,Lonchorhina aurita,163,11,7,159,17.36572327,2.947602213,0.169736795,0,NA,NA,NA,0,NA,NA,NA,162,51.01876543,1.982057644,0.038849581
46,Bats,Chiroptera,Phyllostomidae,Lophostoma,Lophostoma brasiliense,37,14,9,37,13.32162162,2.496011834,0.187365465,0,NA,NA,NA,0,NA,NA,NA,37,38.87243243,1.785830659,0.0459408
47,Bats,Chiroptera,Phyllostomidae,Lophostoma,Lophostoma silvicolum,14,5,5,13,32.07692308,4.517771177,0.140841787,0,NA,NA,NA,0,NA,NA,NA,14,55.18214286,1.926196645,0.034906159
48,Bats,Chiroptera,Phyllostomidae,Micronycteris,Micronycteris hirsuta,8,4,3,8,12.5,2.604940361,0.208395229,0,NA,NA,NA,0,NA,NA,NA,4,41.325,0.25,0.006049607
49,Bats,Chiroptera,Phyllostomidae,Micronycteris,Micronycteris megalotis,21,10,7,20,7.125,1.356029421,0.190319919,0,NA,NA,NA,0,NA,NA,NA,21,34.15380952,0.9788538,0.028660165
50,Bats,Chiroptera,Phyllostomidae,Micronycteris,Micronycteris microtis,10,7,5,10,7.15,1.055409347,0.147609699,0,NA,NA,NA,0,NA,NA,NA,8,34.6,1.31692282,0.038061353
