"","genus","binomial","body_mass","body_length","age","sex","longitude","latitude","status"
"27526","Delomys","Delomys dorsalis",50.5,259,"adult","female",-48.229502,-24.202563,"alive"
"27528","Delomys","Delomys dorsalis",79,223,"adult","female",-48.229502,-24.202563,"alive"
"27529","Delomys","Delomys dorsalis",57,206,"adult","female",-48.229502,-24.202563,"alive"
"27530","Delomys","Delomys dorsalis",71,229,"adult","male",-48.229502,-24.202563,"alive"
"27533","Delomys","Delomys dorsalis",56,105,"adult","male",-50.392152,-29.40807,"alive"
"27534","Delomys","Delomys dorsalis",50,118,"adult","male",-50.392152,-29.40807,"dead"
"27535","Delomys","Delomys dorsalis",61,123,"adult","male",-50.392152,-29.40807,"alive"
"27536","Delomys","Delomys dorsalis",87,129,"adult","male",-50.392152,-29.40807,"alive"
"27537","Delomys","Delomys dorsalis",43,123,"adult","female",-50.392152,-29.40807,"alive"
"27538","Delomys","Delomys dorsalis",61,125,"adult","male",-50.392152,-29.40807,"alive"
"27539","Delomys","Delomys dorsalis",55,134,"adult","male",-50.20897,-29.490729,"dead"
"27540","Delomys","Delomys dorsalis",53,226,"adult","female",-50.20897,-29.490729,"dead"
"27541","Delomys","Delomys dorsalis",54,120,"adult","male",-50.20897,-29.490729,"dead"
"27542","Delomys","Delomys dorsalis",60,125,"adult","female",-50.20897,-29.490729,"alive"
"27543","Delomys","Delomys dorsalis",62,131,"adult","female",-50.20897,-29.490729,"alive"
"27544","Delomys","Delomys dorsalis",56,125,"adult","female",-50.20897,-29.490729,"alive"
"27545","Delomys","Delomys dorsalis",63,115,"adult","female",-50.104172,-29.160204,"alive"
"27546","Delomys","Delomys dorsalis",46,113,"adult","female",-50.20897,-29.490729,"alive"
"27547","Delomys","Delomys dorsalis",34,108,"adult","female",-50.20897,-29.490729,"alive"
"27548","Delomys","Delomys dorsalis",49,118,"adult","male",-50.20897,-29.490729,"alive"
"27549","Delomys","Delomys dorsalis",61,109,"adult","female",-50.392152,-29.40807,"alive"
"27550","Delomys","Delomys dorsalis",39,118,"adult","female",-50.20897,-29.490729,"alive"
"27551","Delomys","Delomys dorsalis",40,108,"adult","female",-50.20897,-29.490729,"alive"
"27552","Delomys","Delomys dorsalis",27,92,"adult","male",-50.20897,-29.490729,"alive"
"27553","Delomys","Delomys dorsalis",24,94,"adult","female",-50.20897,-29.490729,"alive"
"27554","Delomys","Delomys dorsalis",50,126,"adult","male",-50.20897,-29.490729,"alive"
"27555","Delomys","Delomys dorsalis",36,108,"adult","female",-50.20897,-29.490729,"alive"
"27556","Delomys","Delomys dorsalis",39,114,"adult","male",-50.20897,-29.490729,"alive"
"27557","Delomys","Delomys dorsalis",31,98,"adult","female",-50.20897,-29.490729,"alive"
"27558","Delomys","Delomys dorsalis",54,132,"adult","female",-50.20897,-29.490729,"alive"
"27559","Delomys","Delomys dorsalis",37,112,"adult",NA,-50.20897,-29.490729,"alive"
"27560","Delomys","Delomys dorsalis",38,90,"adult","female",-50.392152,-29.40807,"alive"
"27561","Delomys","Delomys dorsalis",40,109,"adult","male",-50.20897,-29.490729,"alive"
"27562","Delomys","Delomys dorsalis",63,110,"adult","male",-50.392152,-29.40807,"alive"
"27563","Delomys","Delomys dorsalis",48,111,"adult","male",-50.20897,-29.490729,"alive"
"27564","Delomys","Delomys dorsalis",36,102,"adult","male",-50.392152,-29.40807,"alive"
"27565","Delomys","Delomys dorsalis",36,100,"adult","male",-50.104172,-29.160204,"alive"
"27566","Delomys","Delomys dorsalis",50,110,"adult","male",-50.392152,-29.40807,"alive"
"27567","Delomys","Delomys dorsalis",65,113,"adult","male",-50.392152,-29.40807,"alive"
"27568","Delomys","Delomys dorsalis",27,98,"adult","female",-50.392152,-29.40807,"alive"
"27569","Delomys","Delomys dorsalis",42,105,"adult","male",-50.104172,-29.160204,"alive"
"27570","Delomys","Delomys dorsalis",32,102,"adult","female",-50.392152,-29.40807,"alive"
"27571","Delomys","Delomys dorsalis",48,110,"adult","female",-50.392152,-29.40807,"alive"
"27572","Delomys","Delomys dorsalis",41,104,"adult","male",-50.392152,-29.40807,"alive"
"27573","Delomys","Delomys dorsalis",39,110,"adult","female",-50.104172,-29.160204,"alive"
"27574","Delomys","Delomys dorsalis",51,120,"adult","male",-50.104172,-29.160204,"alive"
"27575","Delomys","Delomys dorsalis",38,114,"adult","male",-50.104172,-29.160204,"alive"
"27576","Delomys","Delomys dorsalis",44,110,"adult","female",-50.104172,-29.160204,"alive"
"27577","Delomys","Delomys dorsalis",40,90,"adult","female",-50.104172,-29.160204,"alive"
"27578","Delomys","Delomys dorsalis",35,90,"adult","female",-50.104172,-29.160204,"alive"
"27579","Delomys","Delomys dorsalis",36,103,"adult","male",-50.20897,-29.490729,"alive"
"27580","Delomys","Delomys dorsalis",36,93,"adult","male",-50.104172,-29.160204,"alive"
"27581","Delomys","Delomys dorsalis",35,98,"adult","female",-50.104172,-29.160204,"alive"
"27582","Delomys","Delomys dorsalis",53,120,"adult","male",-50.20897,-29.490729,"alive"
"27583","Delomys","Delomys dorsalis",37,102,"adult","male",-50.104172,-29.160204,"alive"
