basin,sub,sta,lat,long,elev,slope,aspect,s.id,s.edge,p.edge,p.edge,p.cwedge,ba.con,ba.hard,ba.snag,ba.tot,ba.ratio,snag.sml,snag.ml,snag.l,snag.dc1,snag.dc2,snag.dc4
D,AL,1,4924418,437009.75,542,75,15,3,E,E,131,79,0,5,0,5,0,7,4,0,4,0,4
D,AL,2,4924430,437200.594,519,80,326,2,E,E,192,175,18,0,18,18,100,67,46,32,28,21,18
D,AL,3,4924415.5,437430.75,584,70,230,1,I,I,0,0,0,0,5,0,50,14,11,4,0,4,11
D,AL,4,4923998,437731,612,60,208,3,I,E,120,6,9,14,0,23,40,4,4,4,0,0,4
D,AL,5,4923999,437544.188,580,43,235,3,I,I,0,0,14,0,0,14,100,0,0,0,0,0,0
D,AL,6,4924007.5,437327.25,554,65,60,3,I,E,166,8,9,0,5,9,100,21,7,7,7,0,14
D,AL,7,4923982,437120.312,591,72,60,3,I,E,136,12,0,5,0,5,0,4,4,4,0,0,4
D,AL,8,4923976,436921.031,616,28,80,3,I,E,107,5,5,0,5,5,100,11,11,11,0,0,11
D,AL,9,4923573.5,437017.062,651,42,70,3,I,I,0,0,37,0,0,37,100,4,4,4,0,0,4
D,AL,10,4923577,437223.594,629,42,65,3,I,I,0,0,5,0,0,5,100,0,0,0,0,0,0
D,AL,11,4923586,437438.656,606,42,50,3,I,E,168,9,5,0,0,5,100,0,0,0,0,0,0
D,AL,12,4923564.5,437616.812,575,30,20,3,I,E,111,6,5,0,0,5,100,7,0,0,7,0,0
D,AL,13,4923167.5,437445.938,603,87,320,3,I,E,152,8,0,0,0,0,50,7,4,4,0,0,7
D,AL,14,4923161,437240.969,607,53,105,3,I,E,130,6,0,0,0,0,50,11,7,4,0,0,11
D,AL,15,4923166,437035.875,641,22,140,3,I,I,0,0,5,0,0,5,100,4,4,4,0,0,4
D,AL,16,4923167,436832.094,666,25,175,3,I,E,131,7,5,0,0,5,100,21,18,14,0,0,21
D,AL,17,4922750.5,436439.188,672,40,150,3,I,I,0,0,28,0,0,28,100,0,0,0,0,0,0
D,AL,18,4922756,436638.5,659,34,125,3,I,I,0,0,41,0,0,41,100,0,0,0,0,0,0
D,AL,19,4922751.5,436838.5,636,25,170,3,I,I,0,0,37,0,0,37,100,4,0,0,4,0,0
D,AL,20,4922746.5,437032.719,620,27,125,3,I,E,120,11,5,0,9,5,100,18,11,11,0,4,14
D,AL,21,4922753.5,437225.438,608,32,115,3,E,E,141,141,5,0,5,5,100,4,4,4,0,0,4
D,AL,22,4922758.5,437449.562,626,75,250,3,I,I,0,0,0,14,0,14,0,0,0,0,0,0,0
D,AL,23,4922360.5,437662,701,85,280,3,I,I,0,0,28,14,5,41,67,4,4,4,0,0,4
D,AL,24,4922362,437442.969,695,71,45,3,I,I,0,0,18,0,0,18,100,4,0,0,0,4,0
D,AL,25,4922334,437240.594,623,80,360,3,I,I,0,0,14,5,5,18,75,7,4,4,0,0,7
D,AL,26,4922339.5,437038.062,649,110,65,3,I,E,157,8,9,0,0,9,100,0,0,0,0,0,0
D,AL,27,4922339.5,436844.375,668,80,305,3,I,I,0,0,14,0,0,14,100,4,0,0,4,0,0
D,AL,28,4922333.5,436632.969,646,42,50,3,I,I,0,0,18,0,0,18,100,0,0,0,0,0,0
D,AL,29,4922329.5,436434.281,661,15,120,3,I,I,0,0,23,0,0,23,100,21,11,7,11,0,11
D,AL,30,4922341,436243.344,691,55,115,3,I,I,0,0,23,0,5,23,100,7,7,4,0,0,7
D,AL,31,4921966.5,436550.406,713,72,55,3,I,I,0,0,23,9,0,32,71,4,0,0,4,0,0
D,AL,32,4921969.5,436746.719,721,15,345,3,I,I,0,0,32,0,0,32,100,4,0,0,0,4,0
D,AL,33,4921954.5,436933.812,684,63,70,3,I,I,0,0,0,0,0,0,50,0,0,0,0,0,0
D,AL,34,4921951,437163.531,684,55,60,3,I,I,0,0,18,0,0,18,100,0,0,0,0,0,0
D,AL,35,4921962,437350.188,695,80,250,3,I,I,0,0,23,0,9,23,100,4,0,0,4,0,0
D,BC,1,4921205.5,429906.25,345,85,60,1,I,E,88,4,73,9,14,83,89,28,18,14,4,11,14
D,BC,2,4921214,430112.156,369,50,350,1,I,I,0,0,69,9,5,78,88,85,32,4,7,53,25
D,BC,3,4920862.5,430522.25,364,55,270,1,I,I,0,0,37,9,5,46,80,25,11,0,0,4,21
D,BC,4,4920828.5,430343.281,392,77,90,1,I,E,191,10,23,14,0,37,63,11,7,7,0,7,4
D,BC,5,4920807,430168.344,479,65,295,1,I,I,0,0,69,0,5,69,100,67,46,0,14,35,18
D,BC,6,4920797.5,429955.531,425,85,85,1,I,E,144,7,46,14,0,60,77,28,14,0,4,21,4
D,BC,7,4920402.5,429830.469,531,80,120,1,I,I,0,0,60,5,23,64,93,53,35,14,0,25,28
D,BC,8,4920407.5,430023.656,524,72,310,1,I,E,117,6,32,14,5,46,70,28,18,7,0,11,18
D,BC,9,4920425,430223.562,578,50,310,1,I,I,0,0,73,0,0,73,100,99,53,0,7,50,42
D,BC,10,4920442.5,430394.062,503,72,100,1,I,E,98,5,83,0,5,83,100,35,18,7,0,11,25
D,BC,11,4920475,430582.812,375,72,355,1,I,I,0,0,14,14,0,28,50,4,0,0,0,4,0
D,BC,12,4920470.5,430760.469,497,78,275,1,I,E,120,6,78,0,14,78,100,50,39,7,7,14,28
D,BC,13,4920486.5,430955.469,556,39,240,1,I,E,132,7,32,18,14,51,64,60,46,18,11,0,50
D,BC,14,4920131.5,431355.75,648,37,240,1,I,I,0,0,64,0,14,64,100,39,25,14,4,0,35
D,BC,15,4920122,431180.469,612,68,300,1,I,I,0,0,73,0,14,73,100,85,57,18,4,21,60
D,BC,16,4920108.5,430994.75,530,37,270,1,I,I,0,0,9,9,5,18,50,7,7,7,0,0,7
D,BC,17,4920116.5,430776.062,447,72,310,1,I,E,122,6,32,0,5,32,100,50,14,7,4,35,11
D,BC,18,4920076.5,430611.094,507,22,310,1,I,I,0,0,55,0,14,55,100,67,35,11,7,25,35
D,BC,19,4920055,430429.125,493,90,345,1,I,I,0,0,41,9,0,51,82,14,0,0,0,0,14
D,BC,20,4920044,430248.656,523,72,130,2,E,E,80,29,23,0,0,23,100,0,0,0,0,0,0
D,BC,21,4920021,430078.5,600,30,55,2,I,I,0,0,14,0,0,14,100,4,4,4,0,0,4
D,BC,22,4920004,429885.469,607,70,110,2,I,I,0,0,23,0,0,23,100,4,4,0,0,0,4
D,BC,23,4919676,430288.469,631,13,105,1,I,E,101,5,55,0,14,55,100,78,46,14,0,28,50
D,BC,24,4919688,430487.062,631,52,320,1,I,I,0,0,69,0,5,69,100,39,25,11,7,11,21
D,BC,25,4919710,430664.219,647,45,80,1,I,I,0,0,78,0,14,78,100,60,35,11,0,25,35
D,BC,26,4919732.5,430838.531,570,73,80,3,E,E,129,46,28,0,5,28,100,32,14,4,0,11,21
D,BC,27,4919739.5,431043.156,591,0,0,1,I,I,0,0,41,0,51,41,100,127,99,32,0,71,57
D,BC,28,4919754,431205.125,531,23,265,4,E,E,126,45,37,0,5,37,100,28,18,7,0,7,21
D,BC,29,4919777.5,431391.031,585,20,230,4,I,I,0,0,41,0,0,41,100,4,4,0,0,0,4
D,BC,30,4919415,431612,655,28,155,4,I,I,0,0,41,0,23,41,100,39,35,25,0,0,39
D,BC,31,4919391.5,431425.594,662,17,265,4,I,I,0,0,23,5,9,28,83,21,14,11,0,0,21
D,BC,32,4919383.5,431243.156,635,20,180,4,I,I,0,0,14,0,5,14,100,11,11,7,0,0,11
D,CH,1,4929269,435092.438,289,22,15,3,I,I,0,0,0,14,0,14,0,7,0,0,4,0,4
