blade,rope.type,p.cut,p.strength,ch1,ch2,ch3
F2,VEL,1,1,1.59,2.6,2.53
F2,BLAZE,1,1,1.52,2.16,2.54
SI,BLAZE,1,1,1.89,1.99,2.54
F2,BLAZE,0.99,0.97,1.79,2.25,2.84
F2,VEL,0.71,0.87,1.74,1.63,2.65
SI,SB,0.67,0.89,1.74,1.54,2.62
SI,VEL,0.65,0.54,1.9,2.31,2.62
F2,XTC,0.62,0.55,2.15,2.55,3.38
F2,XTC,0.58,0.8,1.86,1.97,2.09
F2,VEL,0.57,0.65,1.69,2.61,1.78
F2,PI,0.55,0.71,1.95,3.61,2.98
SI,BLAZE,0.54,0.75,2.26,2.47,3.67
SI,XTC,0.54,0.76,2.42,1.91,2.74
SI,BS,0.54,0.76,1.85,2.12,3.47
F2,XTC,0.52,0.41,1.98,2.07,2.26
SI,VEL,0.51,0.75,1.53,1.1,2.47
F2,BLAZE,0.51,0.55,1.55,1.26,2.78
SI,SB,0.51,0.4,2.11,2.4,3.79
F2,BLAZE,0.5,0.76,1.74,1.38,2.65
SI,BLAZE,0.47,0.52,1.9,1.96,2.88
F2,BS,0.46,0.42,1.67,1.68,3.15
F2,VEL,0.45,0.43,1.63,1.7,1.49
SI,VEL,0.45,0.36,1.61,1.73,2.36
F2,SB,0.45,0.23,1.98,2.02,3.14
F2,SB,0.44,0.49,1.95,2.59,3.77
SI,SB,0.44,0.53,1.89,1.98,2.59
F2,BS,0.43,0.55,1.73,2.96,2.26
SI,BS,0.42,0.63,2.01,2.77,4.52
F2,SB,0.41,0.37,2.05,2.27,4.06
SI,SB,0.39,0.42,1.67,1.91,3.13
F2,SB,0.39,0.39,1.92,1.97,3.27
SI,BLAZE,0.37,0.61,1.71,2.1,3.02
SI,BLAZE,0.37,0.63,2.1,2.64,3.71
SI,VEL,0.37,0.46,1.74,2.55,3.58
F2,VEL,0.35,0.45,1.74,1.58,2.86
F2,XTC,0.34,0.43,1.94,1.81,3.32
SI,XTC,0.34,0.52,1.66,1.42,2.49
SI,VEL,0.34,0.31,1.96,2.54,3.31
F2,BS,0.33,0.49,2.09,1.95,3.43
F2,PI,0.32,0.22,1.61,1.47,3.15
SI,BS,0.32,0.26,1.83,1.47,3.82
F2,SB,0.32,0.31,1.77,2.02,2.25
SI,SB,0.31,0.42,1.77,2.35,2.99
SI,XTC,0.31,0.4,2.3,4.17,3.96
F2,BS,0.31,0.44,2.09,2.41,3.87
F2,BS,0.31,0.45,1.43,2.7,3.37
F2,PI,0.3,0.32,2.08,1.78,3.21
SI,PI,0.29,0.4,1.69,1.71,2.66
F2,BLAZE,0.27,0.49,1.9,2.52,2.92
F2,PI,0.27,0.33,2.24,2.54,3.65
SI,XTC,0.26,0.44,1.73,1.69,3.07
F2,XTC,0.26,0.45,2.18,2.98,3.66
F1,BLAZE,0.26,0,2.29,2.37,3.52
SI,PI,0.25,0.4,1.95,2.42,2.99
SI,BS,0.25,0.23,1.72,1.89,2.84
F3,BLAZE,0.25,-0.07,1.75,2.43,3.34
SI,PI,0.24,0.33,2,2.46,3.15
SI,PI,0.24,0.25,1.94,2.14,2.93
SI,XTC,0.23,0.5,2.45,3.46,3.59
F3,VEL,0.23,-0.09,1.67,1.8,3.02
F3,XTC,0.23,-0.03,1.83,1.98,2.82
F1,VEL,0.23,-0.01,1.78,1.52,3.32
SI,BS,0.22,0.33,1.87,2.66,3.27
F2,PI,0.22,0.17,1.78,2.32,3.11
F1,XTC,0.21,-0.03,2.33,2.65,3.39
F3,VEL,0.2,0.02,2.05,2.49,3.15
F1,VEL,0.2,-0.01,2.75,3.49,3.43
F3,VEL,0.2,0.02,2.25,1.73,3.51
F3,BS,0.19,0.07,2.04,2.52,3.31
SI,PI,0.18,0.42,1.86,2.86,3.79
