block,plot,date,treatment,birch,pine,fern
A,A3,1995,control,0,4,260
A,A7,1995,control,0,0,186
A,A4,1995,removed,8,8,46
A,A6,1995,removed,6,28,1
A,A5,1995,mixed,0,1,309
A,A8,1995,mixed,0,0,258
A,A1,1995,clipped,0,11,0
A,A2,1995,clipped,2,0,0
B,B5,1995,control,0,5,256
B,B8,1995,control,0,0,247
B,B3,1995,removed,3,0,1
B,B6,1995,removed,9,4,3
B,B4,1995,mixed,0,0,343
B,B7,1995,mixed,0,0,350
B,B1,1995,clipped,0,16,0
B,B2,1995,clipped,1,3,0
C,C5,1995,control,0,1,251
C,C8,1995,control,0,2,229
C,C3,1995,removed,3,1,2
C,C7,1995,removed,7,12,5
C,C4,1995,mixed,0,0,338
C,C6,1995,mixed,0,0,285
C,C1,1995,clipped,1,49,0
C,C2,1995,clipped,1,17,0
D,D5,1995,control,0,1,255
D,D6,1995,control,0,2,335
D,D3,1995,removed,44,6,8
D,D4,1995,removed,42,8,5
D,D7,1995,mixed,1,0,320
D,D8,1995,mixed,0,0,215
D,D1,1995,clipped,2,0,0
D,D2,1995,clipped,3,47,0
